TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS,VI,TH,FI
TID_EVENT_TITLE_UPDATE_MEGA,Update Mega Pack,Mégapack de la mise à jour,Update-Megapaket,Megalote de actualización,"""Mega pacc. dell''aggiornamento""'",Mega-updatepakket,Megastor oppdateringspakke,Megapacote de atualização,Güncelleme Mega Paketi,アップデートメガパック,升级超级礼包,업데이트 메가 팩,Меганабор к обновлению,مجموعة التحديث العملاقة,超級升級特惠包,اَبَربسته به‌روزرسانی,Paket Pembaruan Mega,Pek Mega Naik Taraf,Gói Siêu Nâng cấp,แพ็คเมก้าอัปเดต,Megapäivityspaketti
TID_EVENT_TITLE_CNY1_PACK,Lunar Festival,Festival lunaire,Mondfest,Festival Lunar,Festival lunare,Lunair festival,Månefestival,Festival Lunar,Ay Festivali,旧正月,新春佳节 ,설날 맞이 특가,Китайский Новый год,مهرجان العام القمري ,新春佳節,جشنواره سال نو چینی ,Festival Imlek,Pesta Tahun Baru Cina,Tết Nguyên Đán,เทศกาลตรุษจีน,Kiinalaisen uudenvuoden festivaali
TID_EVENT_TITLE_SUPER_BUNDLE,Super Bundle,Super lot,Super-Bundle,Superoferta,Super bundle,Superbundel,Superknippe,Supercombo,Süper Paket,スーパーセット,超级礼包,슈퍼 묶음 상품,Супернабор,الباقة الخارقة,超級特惠,اَبَر بسته ترکیبی,Paket Super,Pakej Super,Gói siêu cấp,ห่อพลังซูเปอร์,Superpaketti
TID_EVENT_TITLE_DOUBLEMUSCLE,Double Muscle,Bâtisseur,Baulöwe,Construcción,Doppia forza,Dubbel bouwen,Dobbelmuskel,Construção dobrada,İki Kat İnşaat,筋肉で解決,双建合璧,더블 머슬,Двойная сила,حجرا الأساس,雙重藍圖,سازش مضاعف,Tenaga Ganda,Binaan Berganda,Sức mạnh nhân đôi,พลังกล้ามคูณสอง,Tuplamuskeli
TID_EVENT_TITLE_SUMMERUPDATESPECIAL,Summer Special,Spécial été,Sommer-Special,Oferta especial,Offerta estiva,Zomerspecial,Sommerspesial,Oferta especial,Yaza Özel,夏の大サービス,夏季特惠,써머 스페셜,Особая летняя акция,عرض الصيف الخاص,夏季特惠,ویژه تابستان,Spesial Musim Panas,Istimewa Musim Panas,Ưu đãi Mùa hè Đặc biệt,ข้อเสนอพิเศษฤดูร้อน,Kesän erikoistarjous
TID_EVENT_TITLE_SUMMER199,"""Summer''s End Special""'","""Spécial fin d''été""'",Sommerende-Special,Evento especial,Contenuti speciali di fine estate,Zomereindespecial,Sommersluttspesial,Evento especial,Yaz Sonu Özel,夏の終わりスペシャル,夏末特惠,뜨거웠던 여름의 끝!,Акция к концу лета,عرض نهاية الصيف الخاص,夏末特惠,ویژه پایان تابستان,Akhir Musim Panas Spesial,Istimewa Hujung Musim Panas,Ưu đãi Cuối hè,ข้อเสนอพิเศษสิ้นสุดฤดูร้อน,Loppukesän erikoinen
TID_EVENT_TITLE_ICY_DARKNESS,Icy Darkness,Ténèbres glacées,Eisige Dunkelheit,Oscuridad helada,Tenebre glaciali,IJzige duisternis,Isete mørke,Sombra gélida,Buzlu Karanlık,冷たい闇,冰封暗影,차디찬 어둠,Ледяная тьма,صقيع وظلمة,冰封暗影,تاریکی یخی,Dingin Mencekam,Kegelapan Berais,Bóng đêm Băng giá,ความมืดมิดเย็นเยือก,Jäinen pimeys
TID_EVENT_TITLE_COMMON_CENTS,Common Cents,Petites pièces,Centsation,Céntimos comunes,Per un pugno di centesimi,Prachtig profijt,En krone spart,Meros centavos,Bini Bir Para,常識ハズレの大割引,物有所值,푼돈,Дешево и сердито,في متناول اليد,物有所值,سِنت سلیم,Penawaran Receh,Harga Rahmah,Giảm giá sập sàn,ราคาปุถุชน,Järkivalinnat
TID_EVENT_TITLE_BARGAIN_JARGON,Bargain Jargon,Jargon négociant,Hand (voll Gold) drauf,Jerga de chollos,Parlantina da venditore,Dat scheelt,Klingende mynt,Uma barganha,Eli Sıkı,燃えるバーゲン魂,物美价廉,가성비 굿,Выгодная сделка,صفقة ممتازة,物美價廉,فن تخفیف,Sayang Anak,Super Jimat,Ưu đãi hấp dẫn,รหัสลับส่วนลด,Tarjouslaari
TID_EVENT_TITLE_BRIEF_RELIEF,Brief Relief,Petite pause,Leichte Erleichterung,Breve respiro,"""Un po'' di sollievo""'",Kostelijk goedkoop,Pent tjent,Alívio imediato,Pazarlık Payı,ささやかな支援,低价优质,번개 세일,Почти даром,قمة التوفير,低價超值,آسودگی موقت,Balik Modal,Jualan Panas,Rẻ như bèo,ค่าบรรเทาทุกข์,Hetken helpotus
TID_EVENT_TITLE_CHEAPER_KEEPER,Cheaper Keeper,Ça vaut le coup,Wahnsinnig billig,Baratura,Prezzo imbattibile,Voordeelpret,Rimelig smart,Mais em conta,Ucuza Kapatalım,夏の防衛応援セール,便宜好物,득템,Большая выгода,عرض رخيص,經濟實惠,ارزان ولی به‌دردبخور,Hemat Pangkal Kaya,Murah Gila,Giá rẻ bất ngờ,ลดแลกแจกแถม,Halpiskamaa
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TID_EVENT_ANIMATION_GETITNOW,Get it Now!,"Pour vous, maintenant !",Zum Shop!,¡No te la pierdas!,Acquista ora!,Haal er nu een!,Slå til nå!,Adquira já!,Şimdi Al!,今すぐゲット！,立即获取！,지금 구매하세요!,Поспешите!,احصل عليه الآن!,立即獲取！,همین حالا!,Dapatkan Sekarang!,Dapatkan Sekarang!,Mua ngay!,รวยทันใจ!,Hanki omasi nyt!
"""TID_EVENT_ANIMATION_DON''TMISSOUT""'","""Don''t Miss out!""'",À ne pas rater,Zugreifen!,No te la pierdas,Non perdertela!,Mis het niet!,Slå til nå!,Não perca!,Kaçırma!,お見逃しなく！,不要错过！,기회를 놓치지 마세요!,Не пропустите!,لا تضيع الفرصة,不要錯過！,از دست ندهید!,Ayo Dapatkan!,Jangan terlepas,Đừng bỏ lỡ nhé!,อย่าได้พลาด!,Älä jää paitsi!
TID_EVENT_ANIMATION_FEARNOT,Fear Not!,"""Pas d''inquiétude""'",Keine Angst!,¡No tengas miedo!,Non avere dubbi!,Wees niet bang!,Frykt ikke!,Não tema!,Korkma!,恐れずに！,勇者无畏！,두려워하지 마세요!,Залог бесстрашия!,لا تخف!,無所畏懼！,ترس به دلت راه نده!,Jangan Takut!,Usah takut!,Không cần phải sợ!,อย่าได้กลัว!,Rohkeasti vaan!
TID_EVENT_ANIMATION_FEELTHEPOWER,Feel the Power!,Offre puissante,Spüre die Power!,¡Siente el poder!,Ora si fa sul serio!,Voel de kracht!,Kjenn kraften!,Sinta a intensidade!,Gücü Hisset!,力をその手に！,感受力量！,강력한 힘을 느껴보세요!,Источник силы!,استمتع بالقوة!,感受力量！,لذت قدرت!,Rasakan Kekuatan Ini!,Rasailah Kuasanya!,Sức mạnh tràn trề!,สัมผัสถึงพลังสิ!,Aisti voima!
TID_EVENT_ANIMATION_UPGRADENOW,Upgrade now!,"Pour vous, maintenant !",Jetzt verbessern!,¡A mejorar!,Migliora adesso!,Nu upgraden!,Oppgrader nå!,Melhorias já!,Şimdi yükselt!,今すぐアップグレード！,现在升级！,지금 업그레이드하세요!,Время улучшать!,قم بالترقية الآن!,立即升級！,حالا ارتقاء بده!,Tingkatkan Sekarang!,Naik taraf sekarang!,Nâng cấp ngay nào!,อัปเกรดเลย!,Päivitä nyt!
TID_EVENT_ANIMATION_OUTOFTHEWAY,Out of the Way!,"""C''est parti !""'",Aus dem Weg!,¡Fuera de mi camino!,Pista!,Nu upgraden!,Unna vei!,Sai da frente!,Çekil Yolumdan!,道を切り拓け！,披荆斩棘！,저리 비켜!,С дороги!,لا تقف في طريقي!,披荊斬棘！,کنار بکش!,Enyah dari Sini!,Ke tepi!,Dọn đường!,หลบหน่อยพระเอกมา!,Pois alta!
TID_EVENT_ANIMATION_GOLDSTANDARD,Gold Standard!,Standards dorés,Goldener Standard!,Medalla de oro,Guarda come luccica!,Gouden standaard!,Gullstandard!,Padrão de ouro!,Altın Standart!,ゴールデンスタンダート！,黄金法则！,골드가 최고!,Золотой стандарт!,المعيار الذهبي,黃金法則！,استاندارد طلایی!,Standar Emas!,Standard Emas!,Tiêu chuẩn vàng!,ทองคำแท้แน่นอน!,Kultakanta
TID_EVENT_ANIMATION_HEROPRIDE,Hero Pride!,Fierté héroïque,Stolz des Helden!,¡Orgullo heroico!,Potere agli eroi!,Heldenmoed!,Heltens stolthet!,Orgulho de herói!,Kahramanlık Gururu!,ヒーローの品格！,英雄魅力！,영웅의 긍지!,Честь героя!,فخر الأبطال,英雄魅力！,افتخار قهرمان!,Kebanggaan Pahlawan!,Kebanggaan Wira!,Niềm kiêu hãnh của Tướng!,ผู้กล้าอหังการ!,Sankariylpeyttä
TID_EVENT_ANIMATION_MOVEIT,Move it!,On déplace tout !,Bewegung!,¡Muévelo!,Facciamo ordine!,Weg ermee!,Av gårde!,Movendo tudo!,Haydi!,自由に移動！,随心所移！,서두르세요!,Движение —жизнь!,بسرعة!,隨心所移！,جابه‌جایش کن!,Ayo Bergerak!,Alihkannya!,Dọn dẹp nào!,ถึงเวลาแยกย้าย!,Liikkeelle!
TID_EVENT_ANIMATION_FEELTHEMAGIC,Feel the Magic!,"""C''est magique !""'",Mächtige Magie!,Siente la magia,Magia!,Voel de magie!,Føl magien!,Só magia!,Büyüyü Hisset!,これぞ魔力だ！,法术神威！,마법의 힘!,Это волшебство!,فعل السحر,魔法在手！,جادو رو حس کن!,Rasakan Sihir!,Rasai Keajaiban,Phép thuật mạnh mẽ!,สัมผัสเวทมนตร์!,Taianomaista!
TID_EVENT_ANIMATION_NEVERENOUGH,Never Enough!,Jamais assez,Nie genug!,¿Aún más?,Mai senza!,Nooit genoeg!,Aldri nok!,Sempre mais!,Onsuz Olmaz!,飽くなき情熱！,多多益善！,"더, 더, 더!",Много не мало!,هل من مزيد؟,多多益善！,همیشه کمه!,Mau Lagi?,Tak cukup ni!,Không bao giờ đủ!,ยังไม่พอ!,Mikään ei riitä
TID_EVENT_ANIMATION_BEWISE,Be Wise!,Soyez sage !,Weises Werk,¡El conocimiento es poder!,Saggia scelta!,Wees wijs!,Bruk hodet!,Conhecimento é poder!,Akıllıca!,知恵を絞れ！,安排有道！,현명하게!,Мудрый выбор,تسلح بالحكمة,巧妙安排！,عاقل باش!,Bersikap Bijak!,Bijak Bestari!,Hãy sáng suốt!,ฉลาดใช้!,Toimi viisaasti!
TID_EVENT_ANIMATION_ALLYOUNEED,All You Need!,Pour tous vos besoins,"Alles, was du brauchst!",¡Imprescindible!,Indispensabile!,Alles wat je wilt!,Alt du trenger!,Imprescindível!,Tüm Gerekenler!,これが肝心！,想您所想！,생필품!,Самое нужное,كل ما تحتاج إليه,築夢踏實！,همه آنچه که می‌خواهی!,Persediaan Penting!,Keperluan Anda!,Tất cả những gì bạn cần!,ทุกสิ่งที่ต้องการ!,Kaikki tarpeellinen!
TID_EVENT_ANIMATION_HAPPYNEWYEAR,Happy New Year!,Bonne année !,Frohes neues Jahr!,¡Feliz Año Nuevo!,Buon anno nuovo!,Gelukkig nieuwjaar!,Godt nyttår!,Feliz Ano-Novo!,Herkesin Yeni Yılını Kutlarız!,明けましておめでとうございます！,新年快乐！,해피 뉴 이어!,С Новым годом!,سنة سعيدة!,Happy New Year！,سال نو میلادی مبارک!,Selamat Tahun Baru!,Selamat Tahun Baharu!,Chúc mừng Năm mới!,สวัสดีปีใหม่!,Hyvää uutta vuotta!
TID_EVENT_ANIMATION_STARTSTRONG,Start strong!,Ça commence fort !,Starker Start!,¡En marcha!,Inizio super!,Begin sterk!,Kom godt i gang!,Comece a todo vapor!,Güçlü başla!,スタートダッシュ！,开战大吉！,강하게 시작하세요!,Мощный старт!,ابدأ بداية قوية!,旗開得勝！,پرتوان شروع کن!,Awal gemilang!,Arah Gemilang,Khởi đầu hoành tráng!,เริ่มปีอย่างแข็งแกร่ง!,Kunnon aloitus!
TID_EVENT_ANIMATION_GOFORIT,Go for it!,"""C''est parti""'",Greif zu!,¡Aprovecha!,Approfittane!,Ga ervoor!,Kjør på!,Vamos lá!,Hepsi seni bekliyor!,今すぐゲット！,机不可失,지금 활용해보세요!,Налетай!,لا تضيع الفرصة!,機不可失,بگیریدش!,Jangan lewatkan!,Pergilah!,Hãy thử xem nhé!,ลุยเลย!,Anna palaa!
TID_EVENT_ANIMATION_PREPAREYOURSELF,Prepare Yourself!,Pour le combat !,Mach dich bereit!,¡Prepárate!,Preparati!,Bereid je voor!,Gjør deg klar!,Prepare-se!,Hazırlan!,戦いに備えよう！,全面备战！,공격에 대비하세요!,Пора готовиться!,استعد!,全面備戰！,خودتان را آماده کنید!,Siapkan Dirimu!,Bersiap Sedialah!,Chuẩn bị Sẵn sàng!,จงเตรียมพร้อม!,Oletko valmiina?
TID_EVENT_ANIMATION_SEALDEAL,Seal this Deal,Quelle affaire,Besiegle den Handel,Sella el trato,Affare fatto!,Degelijke deal,Grip tilbudet,Leve já!,Fırsat Bu Fırsat,セールをお見逃しなく,稳赚不赔,얼른 챙기세요,Сплошная экономия,عرض لا يفوّت,穩賺不賠,این معامله را جوش بده,Jagoan Cuan,Rebut Cepat,Chốt đơn nhanh chóng,ปิดดีล,Päivän diili
TID_EVENT_ANIMATION_OPPOTUNITYKNOCKS,Opportunity Knocks,Une belle affaire,Kannst du das ablehnen?,La oportunidad llama,"""L''occasione""'",Buitenkansje,Mulighetene kaller,Oferta na mão,Fırsat Kapıya Dayandı,最強割引チャンス,机不可失,절호의 기회,Особый шанс,الفرصة تطرق بابك,機不可失,شانس بر در می‌کوبد,Racun Belanja,Jangan Terlepas,Cơ hội đến rồi!,โอกาสมาเยือน,Tilaisuus kolkuttaa
TID_EVENT_ANIMATION_UPDATEOFFER,Update Offer!,Offre de la mise à jour,Update-Angebot!,Oferta de actualización,"""Offerta dell''aggiornamento!""'",Update-aanbieding.,Oppdateringstilbud!,Oferta de atualização!,Güncelleme Teklifi!,アップデートセール！,更新特惠！,업데이트 특가 상품!,Акция к обновлению!,عرض التحديث,更新特惠！,پیشنهاد به‌روزرسانی!,Penawaran Pembaruan!,Tawaran Kemas Kini!,Ưu đãi Cập nhật!,ข้อเสนออัปเดต!,Päivitystarjous
TID_EVENT_ANIMATION_ENDOFSUMMER,"""Summer''s End Special""'","""Spécial fin d''été""'",Sommerende-Special,Evento especial,Contenuti speciali di fine estate,Zomereindespecial,Sommersluttspesial,Evento especial,Yaz Sonu Özel,夏の終わりスペシャル,夏末特惠,뜨거웠던 여름의 끝!,Акция к концу лета,عرض نهاية الصيف الخاص,夏末特惠,ویژه پایان تابستان,Akhir Musim Panas Spesial,Istimewa Hujung Musim Panas,Ưu đãi Cuối hè,ข้อเสนอพิเศษสิ้นสุดฤดูร้อน,Loppukesän erikoinen
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TID_EVENT_TITLE_UPDATE_MEGA,Update Mega Pack,Mégapack de la mise à jour,Update-Megapaket,Megalote de actualización,"""Mega pacc. dell''aggiornamento""'",Mega-updatepakket,Megastor oppdateringspakke,Megapacote de atualização,Güncelleme Mega Paketi,アップデートメガパック,升级超级礼包,업데이트 메가 팩,Меганабор к обновлению,مجموعة التحديث العملاقة,超級升級特惠包,اَبَربسته به‌روزرسانی,Paket Pembaruan Mega,Pek Mega Naik Taraf,Gói Siêu Nâng cấp,แพ็คเมก้าอัปเดต,Megapäivityspaketti
TID_EVENT_TITLE_UPDATE_OFFER,Update Offer!,Offre de la mise à jour,Update-Angebot!,Oferta de actualización,"""Offerta dell''aggiornamento!""'",Update-aanbieding.,Oppdateringstilbud!,Oferta de atualização!,Güncelleme Teklifi!,アップデートセール！,更新特惠！,업데이트 특가 상품!,Акция к обновлению!,عرض التحديث,更新特惠！,پیشنهاد به‌روزرسانی!,Penawaran Pembaruan!,Tawaran Kemas Kini!,Ưu đãi Cập nhật!,ข้อเสนออัปเดต!,Päivitystarjous
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TID_EVENT_TITLE_ONETIMEPURCHASE,ONE TIME PURCHASE!,ACHAT UNIQUE,EINMALIGER KAUF!,¡COMPRA ÚNICA!,ACQUISTABILE UNA SOLA VOLTA!,EENMALIGE AANKOOP!,ENGANGSKJØP!,COMPRA ÚNICA!,TEK SEFERLİK FIRSAT!,購入は1回のみ！,限购一次！,1회 한정 구매!,РАЗОВАЯ АКЦИЯ!,شراء لمرة واحدة!,限購一次！,خرید یک‌باره!,PEMBELIAN SATU KALI!,PEMBELIAN SATU KALI!,ƯU ĐÃI MỘT LẦN!,การซื้อแบบครั้งเดียว!,KERTAOSTOS!
TID_EVENT_TITLE_ONETIMEONLY,ONE TIME ONLY!,LIMITÉ À UNE FOIS,EINMALIG!,¡SOLO UNA VEZ!,SOLO UNA VOLTA!,EENMALIG!,KUN ÉN GANG!,CHANCE ÚNICA!,TEK SEFERLİK!,初回限定！,仅限一次！,1회 한정!,ДОСТУПНО ТОЛЬКО 1 РАЗ!,مرة واحدة لا تتكرر!,僅限一次！,فقط یک بار!,HANYA SATU KALI!,SATU KALI SAHAJA!,CHỈ MỘT LẦN DUY NHẤT!,ครั้งเดียวเท่านั้น!,SAATAVILLA VAIN KERRAN!
TID_EVENT_TITLE_WELCOMETOCLASH,Welcome to Clash!,Bienvenue dans Clash !,Willkommen bei Clash!,¡Te damos la bienvenida a Clash of Clans!,Ti diamo il benvenuto su Clash!,Welkom bij Clash!,Velkommen til Clash!,Bem-vindo ao Clash!,Clash'e hoş geldin!,クラクラへようこそ！,首领，欢迎您加入！,클래시 세계에 오신 걸 환영합니다!,Добро пожаловать в Clash of Clans!,مرحبًا بكم في Clash!,首領，歡迎你加入！,به Clash خوش آمدید!,Selamat datang di Clash!,Selamat datang ke Clash!,Chào mừng đến với thế giới Clash!,ขอต้อนรับสู่ Clash!,Tervetuloa Clashiin!
TID_EVENT_TITLE_JUSTFORYOU,Just for YOU!,Offre exclusive !,Nur für DICH!,¡Solo para ti!,Solo per te!,Alleen voor JOU!,Bare for DEG!,Só para VOCÊ!,Sadece sana özel!,あなただけの特別セール！,您的专属特惠！,나만을 위한 상품!,Персонально для ВАС!,لأجلكم أنتم فقط!,你的專屬特惠！,فقط برای شما!,KHUSUS untukmu!,Hanya untuk ANDA!,Dành riêng cho BẠN!,พิเศษสำหรับท่าน!,Vain sinulle!
