TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
TID_EVENT_TITLE_UPDATE_MEGA,Update Mega Pack,مجموعة التحديث العملاقة,升级超级礼包,超級升級特惠包,Update-Megapaket,Megalote de actualización,اَبَربسته به‌روزرسانی,Megapäivityspaketti,Mégapack de la mise à jour,Paket Pembaruan Mega,Mega pacc. dell'aggiornamento,アップデートメガパック,업데이트 메가 팩,Pek Mega Naik Taraf,Mega-updatepakket,Megastor oppdateringspakke,Megapacote de atualização,Меганабор к обновлению,แพ็คเมก้าอัปเดต,Güncelleme Mega Paketi,Gói Siêu Nâng cấp,Megapakiet aktualizacji
TID_EVENT_TITLE_CNY1_PACK,Lunar Festival,مهرجان العام القمري ,新春佳节 ,新春佳節,Mondfest,Festival Lunar,جشنواره سال نو چینی ,Kiinalaisen uudenvuoden festivaali,Festival lunaire,Festival Imlek,Festival lunare,旧正月,설날 맞이 특가,Pesta Tahun Baru Cina,Lunair festival,Månefestival,Festival Lunar,Китайский Новый год,เทศกาลตรุษจีน,Ay Festivali,Tết Nguyên Đán,Księżycowy festiwal
TID_EVENT_TITLE_SUPER_BUNDLE,Super Bundle,الباقة الخارقة,超级礼包,超級特惠,Super-Bundle,Superoferta,اَبَر بسته ترکیبی,Superpaketti,Super lot,Paket Super,Super bundle,スーパーセット,슈퍼 묶음 상품,Pakej Super,Superbundel,Superknippe,Supercombo,Супернабор,ห่อพลังซูเปอร์,Süper Paket,Gói siêu cấp,Superpakiet
TID_EVENT_TITLE_DOUBLEMUSCLE,Double Muscle,حجرا الأساس,双建合璧,雙重藍圖,Baulöwe,Construcción,سازش مضاعف,Tuplamuskeli,Bâtisseur,Tenaga Ganda,Doppia forza,筋肉で解決,더블 머슬,Binaan Berganda,Dubbel bouwen,Dobbelmuskel,Construção dobrada,Двойная сила,พลังกล้ามคูณสอง,İki Kat İnşaat,Sức mạnh nhân đôi,Sił za dwoje
TID_EVENT_TITLE_SUMMERUPDATESPECIAL,Summer Special,عرض الصيف الخاص,夏季特惠,夏季特惠,Sommer-Special,Oferta especial,ویژه تابستان,Kesän erikoistarjous,Spécial été,Spesial Musim Panas,Offerta estiva,夏の大サービス,써머 스페셜,Istimewa Musim Panas,Zomerspecial,Sommerspesial,Oferta especial,Особая летняя акция,ข้อเสนอพิเศษฤดูร้อน,Yaza Özel,Ưu đãi Mùa hè Đặc biệt,Letnia oferta
TID_EVENT_TITLE_SUMMER199,Summer's End Special,عرض نهاية الصيف الخاص,夏末特惠,夏末特惠,Sommerende-Special,Evento especial,ویژه پایان تابستان,Loppukesän erikoinen,Spécial fin d'été,Akhir Musim Panas Spesial,Contenuti speciali di fine estate,夏の終わりスペシャル,뜨거웠던 여름의 끝!,Istimewa Hujung Musim Panas,Zomereindespecial,Sommersluttspesial,Evento especial,Акция к концу лета,ข้อเสนอพิเศษสิ้นสุดฤดูร้อน,Yaz Sonu Özel,Ưu đãi Cuối hè,Oferta na pożegnanie lata
TID_EVENT_TITLE_ICY_DARKNESS,Icy Darkness,صقيع وظلمة,冰封暗影,冰封暗影,Eisige Dunkelheit,Oscuridad helada,تاریکی یخی,Jäinen pimeys,Ténèbres glacées,Dingin Mencekam,Tenebre glaciali,冷たい闇,차디찬 어둠,Kegelapan Berais,IJzige duisternis,Isete mørke,Sombra gélida,Ледяная тьма,ความมืดมิดเย็นเยือก,Buzlu Karanlık,Bóng đêm Băng giá,Mroźny mrok
TID_EVENT_TITLE_COMMON_CENTS,Common Cents,في متناول اليد,物有所值,物有所值,Centsation,Céntimos comunes,سِنت سلیم,Järkivalinnat,Petites pièces,Penawaran Receh,Per un pugno di centesimi,常識ハズレの大割引,푼돈,Harga Rahmah,Prachtig profijt,En krone spart,Meros centavos,Дешево и сердито,ราคาปุถุชน,Bini Bir Para,Giảm giá sập sàn,Wtrącić trzy grosze
TID_EVENT_TITLE_BARGAIN_JARGON,Bargain Jargon,صفقة ممتازة,物美价廉,物美價廉,Hand (voll Gold) drauf,Jerga de chollos,فن تخفیف,Tarjouslaari,Jargon négociant,Sayang Anak,Parlantina da venditore,燃えるバーゲン魂,가성비 굿,Super Jimat,Dat scheelt,Klingende mynt,Uma barganha,Выгодная сделка,รหัสลับส่วนลด,Eli Sıkı,Ưu đãi hấp dẫn,Złoty język
TID_EVENT_TITLE_BRIEF_RELIEF,Brief Relief,قمة التوفير,低价优质,低價超值,Leichte Erleichterung,Breve respiro,آسودگی موقت,Hetken helpotus,Petite pause,Balik Modal,Un po' di sollievo,ささやかな支援,번개 세일,Jualan Panas,Kostelijk goedkoop,Pent tjent,Alívio imediato,Почти даром,ค่าบรรเทาทุกข์,Pazarlık Payı,Rẻ như bèo,Chwila na oddech
TID_EVENT_TITLE_CHEAPER_KEEPER,Cheaper Keeper,عرض رخيص,便宜好物,經濟實惠,Wahnsinnig billig,Baratura,ارزان ولی به‌دردبخور,Halpiskamaa,Ça vaut le coup,Hemat Pangkal Kaya,Prezzo imbattibile,夏の防衛応援セール,득템,Murah Gila,Voordeelpret,Rimelig smart,Mais em conta,Большая выгода,ลดแลกแจกแถม,Ucuza Kapatalım,Giá rẻ bất ngờ,Taniocha
TID_EVENT_ANIMATION_GETITNOW,Get it Now!,احصل عليه الآن!,立即获取！,立即獲取！,Zum Shop!,¡No te la pierdas!,همین حالا!,Hanki omasi nyt!,"Pour vous, maintenant !",Dapatkan Sekarang!,Acquista ora!,今すぐゲット！,지금 구매하세요!,Dapatkan Sekarang!,Haal er nu een!,Slå til nå!,Adquira já!,Поспешите!,รวยทันใจ!,Şimdi Al!,Mua ngay!,Odbierz teraz!
TID_EVENT_ANIMATION_DON'TMISSOUT,Don't Miss out!,لا تضيع الفرصة,不要错过！,不要錯過！,Angebot!,No te la pierdas,از دست ندهید!,Älä jää paitsi!,À ne pas rater,Ayo Dapatkan!,Non perdertela!,お見逃しなく！,기회를 놓치지 마세요!,Jangan terlepas,Mis het niet!,Slå til nå!,Não perca!,Не пропустите!,อย่าได้พลาด!,Kaçırma!,Đừng bỏ lỡ nhé!,Nie przegap!
TID_EVENT_ANIMATION_FEARNOT,Fear Not!,لا تخف!,勇者无畏！,無所畏懼！,Keine Angst!,¡No tengas miedo!,ترس به دلت راه نده!,Rohkeasti vaan!,Pas d'inquiétude,Jangan Takut!,Non avere dubbi!,恐れずに！,두려워하지 마세요!,Usah takut!,Wees niet bang!,Frykt ikke!,Não tema!,Залог бесстрашия!,อย่าได้กลัว!,Korkma!,Không cần phải sợ!,Bez obaw!
TID_EVENT_ANIMATION_FEELTHEPOWER,Feel the Power!,استمتع بالقوة!,感受力量！,感受力量！,Spüre die Power!,¡Siente el poder!,لذت قدرت!,Aisti voima!,Offre puissante,Rasakan Kekuatan Ini!,Ora si fa sul serio!,力をその手に！,강력한 힘을 느껴보세요!,Rasailah Kuasanya!,Voel de kracht!,Kjenn kraften!,Sinta a intensidade!,Источник силы!,สัมผัสถึงพลังสิ!,Gücü Hisset!,Sức mạnh tràn trề!,Poczuj moc!
TID_EVENT_ANIMATION_UPGRADENOW,Upgrade now!,قم بالترقية الآن!,现在升级！,立即升級！,Jetzt verbessern!,¡A mejorar!,حالا ارتقاء بده!,Päivitä nyt!,"Pour vous, maintenant !",Tingkatkan Sekarang!,Migliora adesso!,今すぐアップグレード！,지금 업그레이드하세요!,Naik taraf sekarang!,Nu upgraden!,Oppgrader nå!,Melhorias já!,Время улучшать!,อัปเกรดเลย!,Şimdi yükselt!,Nâng cấp ngay nào!,Ulepsz teraz!
TID_EVENT_ANIMATION_OUTOFTHEWAY,Out of the Way!,لا تقف في طريقي!,披荆斩棘！,披荊斬棘！,Aus dem Weg!,¡Fuera de mi camino!,کنار بکش!,Pois alta!,C'est parti !,Enyah dari Sini!,Pista!,道を切り拓け！,저리 비켜!,Ke tepi!,Nu upgraden!,Unna vei!,Sai da frente!,С дороги!,หลบหน่อยพระเอกมา!,Çekil Yolumdan!,Dọn đường!,Z drogi!
TID_EVENT_ANIMATION_GOLDSTANDARD,Gold Standard!,المعيار الذهبي,黄金法则！,黃金法則！,Goldener Standard!,Medalla de oro,استاندارد طلایی!,Kultakanta,Standards dorés,Standar Emas!,Guarda come luccica!,ゴールデンスタンダート！,골드가 최고!,Standard Emas!,Gouden standaard!,Gullstandard!,Padrão de ouro!,Золотой стандарт!,ทองคำแท้แน่นอน!,Altın Standart!,Tiêu chuẩn vàng!,Złoty standard!
TID_EVENT_ANIMATION_HEROPRIDE,Hero Pride!,فخر الأبطال,英雄魅力！,英雄魅力！,Stolz des Helden!,¡Orgullo heroico!,افتخار قهرمان!,Sankariylpeyttä,Fierté héroïque,Kebanggaan Pahlawan!,Potere agli eroi!,ヒーローの品格！,영웅의 긍지!,Kebanggaan Wira!,Heldenmoed!,Heltens stolthet!,Orgulho de herói!,Честь героя!,ผู้กล้าอหังการ!,Kahramanlık Gururu!,Niềm kiêu hãnh của Tướng!,Duma herosa!
TID_EVENT_ANIMATION_MOVEIT,Move it!,بسرعة!,随心所移！,隨心所移！,Bewegung!,¡Muévelo!,جابه‌جایش کن!,Liikkeelle!,On déplace tout !,Ayo Bergerak!,Facciamo ordine!,自由に移動！,서두르세요!,Alihkannya!,Weg ermee!,Av gårde!,Movendo tudo!,Движение —жизнь!,ถึงเวลาแยกย้าย!,Haydi!,Dọn dẹp nào!,Rusz się!
TID_EVENT_ANIMATION_FEELTHEMAGIC,Feel the Magic!,فعل السحر,法术神威！,魔法在手！,Mächtige Magie!,Siente la magia,جادو رو حس کن!,Taianomaista!,C'est magique !,Rasakan Sihir!,Magia!,これぞ魔力だ！,마법의 힘!,Rasai Keajaiban,Voel de magie!,Føl magien!,Só magia!,Это волшебство!,สัมผัสเวทมนตร์!,Büyüyü Hisset!,Phép thuật mạnh mẽ!,Poczuj magię!
TID_EVENT_ANIMATION_NEVERENOUGH,Never Enough!,هل من مزيد؟,多多益善！,多多益善！,Nie genug!,¿Aún más?,همیشه کمه!,Mikään ei riitä,Jamais assez,Mau Lagi?,Mai senza!,飽くなき情熱！,"더, 더, 더!",Tak cukup ni!,Nooit genoeg!,Aldri nok!,Sempre mais!,Много не мало!,ยังไม่พอ!,Onsuz Olmaz!,Không bao giờ đủ!,Nigdy dość!
TID_EVENT_ANIMATION_BEWISE,Be Wise!,تسلح بالحكمة,安排有道！,巧妙安排！,Weises Werk,¡El conocimiento es poder!,عاقل باش!,Toimi viisaasti!,Soyez sage !,Bersikap Bijak!,Saggia scelta!,知恵を絞れ！,현명하게!,Bijak Bestari!,Wees wijs!,Bruk hodet!,Conhecimento é poder!,Мудрый выбор,ฉลาดใช้!,Akıllıca!,Hãy sáng suốt!,Z rozumem!
TID_EVENT_ANIMATION_ALLYOUNEED,All You Need!,كل ما تحتاج إليه,想您所想！,築夢踏實！,"Alles, was du brauchst!",¡Imprescindible!,همه آنچه که می‌خواهی!,Kaikki tarpeellinen!,Pour tous vos besoins,Persediaan Penting!,Indispensabile!,これが肝心！,생필품!,Keperluan Anda!,Alles wat je wilt!,Alt du trenger!,Imprescindível!,Самое нужное,ทุกสิ่งที่ต้องการ!,Tüm Gerekenler!,Tất cả những gì bạn cần!,"Wszystko, czego trzeba!"
TID_EVENT_ANIMATION_HAPPYNEWYEAR,Happy New Year!,سنة سعيدة!,新年快乐！,Happy New Year！,Frohes neues Jahr!,¡Feliz Año Nuevo!,سال نو میلادی مبارک!,Hyvää uutta vuotta!,Bonne année !,Selamat Tahun Baru!,Buon anno nuovo!,明けましておめでとうございます！,해피 뉴 이어!,Selamat Tahun Baharu!,Gelukkig nieuwjaar!,Godt nyttår!,Feliz Ano-Novo!,С Новым годом!,สวัสดีปีใหม่!,Herkesin Yeni Yılını Kutlarız!,Chúc mừng Năm mới!,Szczęśliwego nowego roku!
TID_EVENT_ANIMATION_STARTSTRONG,Start strong!,ابدأ بداية قوية!,开战大吉！,旗開得勝！,Starker Start!,¡En marcha!,پرتوان شروع کن!,Kunnon aloitus!,Ça commence fort !,Awal gemilang!,Inizio super!,スタートダッシュ！,강하게 시작하세요!,Arah Gemilang,Begin sterk!,Kom godt i gang!,Comece a todo vapor!,Мощный старт!,เริ่มปีอย่างแข็งแกร่ง!,Güçlü başla!,Khởi đầu hoành tráng!,Z kopyta!
TID_EVENT_ANIMATION_GOFORIT,Go for it!,لا تضيع الفرصة!,机不可失,機不可失,Greif zu!,¡Aprovecha!,بگیریدش!,Anna palaa!,C'est parti,Jangan lewatkan!,Approfittane!,今すぐゲット！,지금 활용해보세요!,Pergilah!,Ga ervoor!,Kjør på!,Vamos lá!,Налетай!,ลุยเลย!,Hepsi seni bekliyor!,Hãy thử xem nhé!,Śmiało!
TID_EVENT_ANIMATION_PREPAREYOURSELF,Prepare Yourself!,استعد!,全面备战！,全面備戰！,Mach dich bereit!,¡Prepárate!,خودتان را آماده کنید!,Oletko valmiina?,Pour le combat !,Siapkan Dirimu!,Preparati!,戦いに備えよう！,공격에 대비하세요!,Bersiap Sedialah!,Bereid je voor!,Gjør deg klar!,Prepare-se!,Пора готовиться!,จงเตรียมพร้อม!,Hazırlan!,Chuẩn bị Sẵn sàng!,W gotowości!
TID_EVENT_ANIMATION_UPDATEOFFER,Update Offer!,عرض التحديث,更新特惠！,更新特惠！,Update-Angebot!,Oferta de actualización,پیشنهاد به‌روزرسانی!,Päivitystarjous,Offre de la mise à jour,Penawaran Pembaruan!,Offerta dell'aggiornamento!,アップデートセール！,업데이트 특가 상품!,Tawaran Kemas Kini!,Update-aanbieding.,Oppdateringstilbud!,Oferta de atualização!,Акция к обновлению!,ข้อเสนออัปเดต!,Güncelleme Teklifi!,Ưu đãi Cập nhật!,Oferta aktualizacji!
TID_EVENT_ANIMATION_OPPOTUNITYKNOCKS,Opportunity Knocks,الفرصة تطرق بابك,机不可失,機不可失,Kannst du das ablehnen?,La oportunidad llama,شانس بر در می‌کوبد,Tilaisuus kolkuttaa,Une belle affaire,Racun Belanja,L'occasione,最強割引チャンス,절호의 기회,Jangan Terlepas,Buitenkansje,Mulighetene kaller,Oferta na mão,Особый шанс,โอกาสมาเยือน,Fırsat Kapıya Dayandı,Cơ hội đến rồi!,Okazja u drzwi
TID_EVENT_ANIMATION_MONTHLYDEAL,Monthly Deal,عرض شهري,每月精选,每月精選,Monatsangebot,Oferta mensual,معامله ماهانه,Kuukauden diili,Promo du mois,Promo Bulanan,Affare del mese,マンスリーセール,월간 특가,Tawaran Bulanan,Maandelijkse deal,Månedens tilbud,Oferta mensal,Сделка месяца,ดีลประจำเดือน,Aylık Fırsat,Ưu đãi hằng tháng,Oferta miesiąca
TID_EVENT_ANIMATION_MONTHLYSPECIAL,Monthly Special,عرض شهري خاص,每月特惠,每月特惠,Monats-Special,Oferta especial del mes,ویژه ماهانه,Kuukauden erikoistarjous,Offre spéciale du mois,Spesial Bulan Ini,Offerta speciale del mese,マンスリースペシャル,월간 스페셜,Istimewa Bulanan,Maandelijkse special,Månedens spesialtilbud,Especial do mês,Акция месяца,พิเศษประจำเดือน,Aylık Özel,Ưu đãi đặc biệt hằng tháng,Specjalna oferta miesiąca
TID_EVENT_ANIMATION_MONTHLYDROP,Monthly Drop,صفقة شهرية,每月惊喜,每月驚喜,Monats-Drop,Oferta del mes,نزول ماهانه,Kuukauden palkinto,Drop du mois,Hadiah Bulanan,Offerta del mese,マンスリードロップ,월간 드롭,Ganjaran Bulanan,Maandelijkse aanbieding,Månedens slipp,Sorteio do mês,Товар месяца,ดรอปประจำเดือน,Aylık Gelen,Giảm giá hằng tháng,Łup miesiąca
TID_EVENT_ANIMATION_MONTHLYVALUE,Monthly Value,قيمة شهرية,每月超值,每月超值,Monats-Bonusangebot,Oferta exclusiva del mes,ارزش ماهانه,Kuukauden tarjous,Offre exclusive du mois,Hemat Bulan Ini,Occasione del mese,マンスリーバリュー,월간 밸류 팩,Tawaran Hebat Bulanan,Maandelijkse waarde,Månedens kupp,Oferta exclusiva do mês,Выгода месяца,สุดคุ้มประจำเดือน,Aylık Avantaj,Gói tiết kiệm hằng tháng,Okazja miesiąca
TID_EVENT_ANIMATION_FRESHTHISMONTH,Fresh This Month,جديد هذا الشهر,本月上新,本月新品,Diesen Monat neu,Novedad del mes,این ماه تازه شروع کنید,Uusinta uutta tässä kuussa,Nouveautés du mois,Baru di Bulan Ini,Novità del mese,今月の新着,이달의 신상품,Baharu di Bulan Ini,Nieuw deze maand,Nytt denne måneden,Novidade do mês,Новинка месяца,มาใหม่เดือนนี้,Bu Ay Yeni,Mới trong tháng này,Nowe w tym miesiącu
TID_EVENT_TITLE_ONETIMEPURCHASE,ONE TIME PURCHASE!,شراء لمرة واحدة!,限购一次！,限購一次！,EINMALIGER KAUF!,¡COMPRA ÚNICA!,خرید یک‌باره!,KERTAOSTOS!,ACHAT UNIQUE,PEMBELIAN SATU KALI!,ACQUISTABILE UNA SOLA VOLTA!,購入は1回のみ！,1회 한정 구매!,PEMBELIAN SATU KALI!,EENMALIGE AANKOOP!,ENGANGSKJØP!,COMPRA ÚNICA!,РАЗОВАЯ АКЦИЯ!,การซื้อแบบครั้งเดียว!,TEK SEFERLİK FIRSAT!,ƯU ĐÃI MỘT LẦN!,JEDNORAZOWY ZAKUP!
TID_EVENT_TITLE_ONETIMEONLY,ONE TIME ONLY!,مرة واحدة لا تتكرر!,仅限一次！,僅限一次！,EINMALIG!,¡SOLO UNA VEZ!,فقط یک بار!,SAATAVILLA VAIN KERRAN!,LIMITÉ À UNE FOIS,HANYA SATU KALI!,SOLO UNA VOLTA!,初回限定！,1회 한정!,SATU KALI SAHAJA!,EENMALIG!,KUN ÉN GANG!,CHANCE ÚNICA!,ДОСТУПНО ТОЛЬКО 1 РАЗ!,ครั้งเดียวเท่านั้น!,TEK SEFERLİK!,CHỈ MỘT LẦN DUY NHẤT!,TYLKO RAZ!
TID_EVENT_TITLE_WELCOMETOCLASH,Welcome to Clash!,مرحبًا بكم في Clash!,首领，欢迎您加入！,首領，歡迎你加入！,Willkommen bei Clash!,¡Te damos la bienvenida a Clash of Clans!,به Clash خوش آمدید!,Tervetuloa Clashiin!,Bienvenue dans Clash !,Selamat datang di Clash!,Ti diamo il benvenuto su Clash!,クラクラへようこそ！,클래시 세계에 오신 걸 환영합니다!,Selamat datang ke Clash!,Welkom bij Clash!,Velkommen til Clash!,Bem-vindo ao Clash!,Добро пожаловать в Clash of Clans!,ขอต้อนรับสู่ Clash!,Clash'e hoş geldin!,Chào mừng đến với thế giới Clash!,Witamy w Clash!
TID_EVENT_TITLE_JUSTFORYOU,Just for YOU!,لأجلكم أنتم فقط!,您的专属特惠！,你的專屬特惠！,Nur für DICH!,¡Solo para ti!,فقط برای شما!,Vain sinulle!,Offre exclusive !,KHUSUS untukmu!,Solo per te!,あなただけの特別セール！,나만을 위한 상품!,Hanya untuk ANDA!,Alleen voor JOU!,Bare for DEG!,Só para VOCÊ!,Персонально для ВАС!,พิเศษสำหรับท่าน!,Sadece sana özel!,Dành riêng cho BẠN!,Tylko dla CIEBIE!
TID_EVENT_TITLE_MASHUP,Mashup Madness,المزيج المجنون,合体狂潮,縫合怪談,Kombo-Wahnsinn,Caos multitropa,جنون درهم‌آمیزی,Karmiva sekoitus,Méli-mélo,Koalisi Edan,Collage orrendo,禁断の合成実験,매시업 매드니스,Gabungan Gila,Chaotische gekte,Mashup-galskap,Mistura maluca,Жуткое безумие,รวมร่างอลวน,Deney Çılgınlığı,Sự kết hợp điên rồ,Szaleństwo kombinacji
TID_EVENT_MASHUP_TOKENS,Mashup Medals,أوسمة المزيج,合体奖章,縫合幣,Mixmedaillen,Medallas de multitropas,مدال‌های درهم‌آمیزی,Karmivat mitalit,Médailles combo,Medali Edan,Medaglie del Collage,禁断のメダル,매시업 메달,Pingat Gabungan,Chaotische gekte-medailles,Mashup-medaljer,Medalhas medonhas,Жуткие медали,เหรียญรวมร่าง,Deney Madalyaları,Huy chương kết hợp,Medale kombinacji
TID_EVENT_DRAGON_MEDALS,Dragon Medals,أوسمة التنانين,神龙奖章,神龍幣,Drachenmedaillen,Medallas de dragón,مدال‌های اژدها,Lohikäärmemitalit,Médailles draconiques,Medali Naga,Medaglie del drago,ドラゴンメダル,드래곤 메달,Pingat Naga,Drakenmedailles,Dragemedaljer,Medalhas de dragão,Медали дракона,เหรียญมังกร,Ejderha Madalyaları,Huy chương Rồng,Smocze medale
TID_EVENT_SUPERMEDALS,Super Medals,أوسمة خارقة,超级奖章,超級幣,Supermedaillen,Supermedallas,اَبَرمدال‌ها,Supermitaleja,Super médailles,Medali Super,Supermedaglie,スーパーメダル,슈퍼 메달,Pingat Super,Supermedailles,Supermedaljer,Supermedalhas,Супермедали,เหรียญซูเปอร์,Süper Madalyalar,Huy chương siêu cấp,Super medale
TID_EVENT_TITLE_GIFT,A gift for you!,إليك هدية!,送您的礼物！,送你的禮物！,Ein Dankeschön!,¡Ten un regalo!,هدیه‌ای برای شما!,Lahja sinulle!,Un cadeau pour vous !,Hadiah untukmu!,Un regalo!,大感謝プレゼント！,대장님을 위한 선물!,Hadiah untuk anda!,Een cadeautje voor jou!,En gave til deg!,Um presentinho!,Подарок для вас!,ของขวัญสำหรับท่าน!,Bir hediyemiz var!,Món quà dành cho bạn!,Prezent dla Ciebie!
TID_EVENT_ANIMATION_CLASHIVERSARY,Happy Clashiversary!,عيد Clash سنوي سعيد!,《部落冲突》生日快乐！,周年生日快樂！,Frohes Clash-Jubiläum!,Feliz Clashiversario,سالگرد کلش مبارک!,Hyvää Clashin synttäriä!,Joyeux Clashiversaire !,Selamat Ulang Tahun Clash!,Buon Clashiversario!,周年記念！,해피 클래시데이!,Selamat Ulang Tahun Clash!,Fijne Clash-jaardag!,Til lykke med clashileet!,Feliz Clash-versário!,С годовщиной Clash!,สุขสันต์วันครบรอบการปะทะ!,Clash Yıl Dönümünüz kutlu olsun!,Chúc mừng Sinh nhật Clash!,Rocznica Clash!
TID_EVENT_HAPPYHOLI,Happy Holi!,لنحتفل بمهرجان الهولي!,洒红节快乐！,侯麗節快樂！,Frohes Holi-Fest!,¡Celebremos el festival Holi!,هولی مبارک!,Riemukasta Holi-juhlaa!,Joyeuse Holi !,Semarak Holi!,Festeggiamo l'Holi Festival!,ホーリー祭を祝いましょう！,홀리 축제를 즐기세요!,Selamat Holi!,Happy Holi!,God holi!,Feliz Holi!,С праздником Холи!,สุขสันต์โฮลี!,Holi Festivaliniz kutlu olsun!,Mừng lễ hội Holi!,Wesołego święta holi!
TID_EVENT_TITLE_BLACK_FRIDAY,Black Friday Pack,مجموعة بلاك فرايداي,黑色星期五礼包,黑色星期五特惠包,Black-Friday-Paket,Lote del Black Friday,بسته جمعه سیاه,Black Friday -paketti,Pack de Black Friday,Paket Black Friday,Pacchetto Black Friday,ブラックフライデーパック,블랙프라이데이 팩,Pek Black Friday,Black Friday-pakket,Black Friday-pakke,Pacote de Black Friday,Черная пятница,แพ็คแบล็กฟรายเดย์,Kara Cuma Paketi,Gói ngày Thứ Sáu Đen,Pakiet na Black Friday
TID_EVENT_ANIMATION_DIWALI,Happy Diwali!,مهرجان ديوالي سعيد!,排灯节快乐！,排燈節快樂！,Frohes Diwali!,¡Feliz Diwali!,دیوالی مبارک!,Hyvää diwalia!,Joyeux Diwali !,Diwali Meriah!,È iniziato il Diwali!,ディワリを祝いましょう！,디왈리를 함께 기념해요!,Selamat Hari Deepavali!,Fijne Divali!,Ha en fin diwali!,Feliz Diwali!,С праздником Дивали!,สุขสันต์ดิวาลี!,Diwali festivaliniz kutlu olsun!,Chào mừng lễ Diwali!,Wesołego święta diwali!
TID_EVENT_TITLE_NEW_SINGLES_DAY,Singles Day Special,عرض يوم العُزاب الخاص,双十一特惠,雙11特惠,Singles’-Day-Special,Especial del Día del Soltero,ویژه روز مجردها,Sinkkujen päivän tarjous,Offre de la fête des célibataires,Spesial Hari Jomblo,Giornata dei single,光棍節スペシャル,11.11 스페셜,Istimewa Hari Bujang,Vrijgezellendagspecial,Tilbud på singeldagen,Especial do dia dos solteiros,Акция ко Дню холостяков,พิเศษวันคนโสด,Bekârlar Gününe Özel,Ưu đãi ngày lễ độc thân,Oferta specjalna na Dzień Singla
TID_EVENT_ANIMATED_TEXT_SINGLES_DAY,Celebrate Singles Day!,احتفل بيوم العُزاب,嗨爆双十一！,歡慶雙11！,Feiere den Singles’ Day!,¡Celebra el Día del Soltero!,روز مجردها را جشن بگیرید!,Juhlista sinkkujen päivää!,Fêtez la journée des célibataires !,Ayo Meriahkan Hari Jomblo!,Festeggia la giornata dei single!,光棍節をお祝いしましょう！,11.11을 기념해요!,Meraikan Hari Bujang!,Vier Vrijgezellendag!,Feir singeldagen!,Comemore o dia dos solteiros!,Празднуем День холостяков!,ฉลองวันคนโสด!,Bekârlar Gününü Kutluyoruz!,Chúc mừng ngày lễ độc thân!,Świętuj Dzień Singla!
TID_EVENT_ANIMATION_MERRYXMAS,Merry Clashmas!,عيد Clash سعيد!,Clash圣诞节快乐！,Clash聖誕節快樂！,Frohe Clash-Weihnacht!,¡Feliz Clashvidad!,کلش کریسمس مبارک!,Hyvää Clashin joulua!,Joyeux Clash Noël !,Selamat Clashmas!,Buon Clashtale!,メリークラッシュマス！,메리 클래시마스!,Selamat Clashmas!,Vrolijk Clashmis!,God clashmas!,Feliz Natal do Clash!,С Clash-Рождеством!,สุขสันต์วันแคลชมาส!,Mutlu bir Clash Yeni Yılı dileriz!,Chúc mừng Giáng Sinh Clash!,Wesołych świąt z Clash!
TID_EVENT_TITLE_XMAS_GEMS,Clashmas Gem Bundle,باقة جواهر عيد Clash,Clash圣诞节宝石大礼包,Clash聖誕節寶石特惠包,Clash-Weihnachts-Bundle,Combo de gemas de Clashvidad,بسته ترکیبی جواهر کلش کریسمس,Clashin joulun timanttipaketti,Lot de gemmes de Clash Noël,Paket Permata Clashmas,Bundle di gemme clashtalizio,クラッシュマス エメラルドセット,클래시마스 보석 묶음 상품,Pek Permata Clashmas,Clashmis-edelstenenbundel,Clashmas-juvelpakke,Pacote de gemas Clash Natalino,Набор к Clash-Рождеству,ห่ออัญมณีแคลชมาส,Clash Yeni Yılı Taş Paketi,Gói Ngọc Giáng Sinh Clash,Świąteczny pakiet klejnotów
TID_EVENT_TITLE_MEGABUILDER,Mega Builder Pack,حزمة البنّاء العملاقة,超级建筑工人礼包,超級建築工人特惠包,Mega-Bauarbeiterpaket,Megalote de constructor,بسته سازنده مگا,Megarakentajapaketti,Méga pack ouvrier,Paket Tukang Mega,Megapacchetto del costruttore,メガ大工パック,메가 장인 팩,Pek Pembina Mega,Mega-bouwvakkerspakket,Megabyggepakke,Megapacote do Construtor,Меганабор строителя,แพ็คช่างก่อสร้างเมก้า,Mega İnşaatçı Paketi,Gói Thợ xây Siêu cấp,Megapakiet Budowniczego
TID_EVENT_TITLE_DUOBUILDER,Duo Builder Pack,حزمة البنّاء الثنائية,建筑工人搭档礼包,建築工人搭檔特惠包,Duo-Bauarbeiterpaket,Lote doble de constructor,بسته سازنده دوتایی,Tuplarakentajapaketti,Pack ouvrier duo,Paket Tukang Duo,Pacchetto del duo di costruttori,コンビ大工パック,듀오 장인 팩,Pek Pasangan Pembina,Duo-bouwvakkerspakket,Duobyggepakke,Pacote duplo do Construtor,Набор с двумя строителями,แพ็คช่างก่อสร้างคู่หู,Çift İnşaatçı Paketi,Gói Bộ đôi Thợ xây,Podwójny pakiet Budowniczego
